MutationType	ID83A
1:Del:C:0	1.96E-03
1:Del:C:1	7.56E-04
1:Del:C:2	1.29E-03
1:Del:C:3	5.97E-04
1:Del:C:4	6.36E-04
1:Del:C:5	1.38E-03
1:Del:T:0	6.79E-04
1:Del:T:1	9.99E-04
1:Del:T:2	8.49E-04
1:Del:T:3	7.48E-04
1:Del:T:4	7.65E-04
1:Del:T:5	2.95E-03
1:Ins:C:0	6.20E-04
1:Ins:C:1	8.67E-04
1:Ins:C:2	9.91E-04
1:Ins:C:3	4.38E-04
1:Ins:C:4	5.05E-04
1:Ins:C:5	1.84E-03
1:Ins:T:0	4.82E-04
1:Ins:T:1	9.13E-04
1:Ins:T:2	5.97E-04
1:Ins:T:3	4.50E-13
1:Ins:T:4	2.12E-04
1:Ins:T:5	2.47E-03
2:Del:R:0	4.96E-04
2:Del:R:1	1.50E-03
2:Del:R:2	4.52E-04
2:Del:R:3	7.67E-04
2:Del:R:4	5.39E-04
2:Del:R:5	6.11E-04
3:Del:R:0	6.58E-04
3:Del:R:1	6.05E-04
3:Del:R:2	9.40E-04
3:Del:R:3	1.01E-03
3:Del:R:4	1.48E-03
3:Del:R:5	3.03E-04
4:Del:R:0	4.64E-04
4:Del:R:1	4.72E-04
4:Del:R:2	2.61E-04
4:Del:R:3	4.91E-13
4:Del:R:4	4.94E-13
4:Del:R:5	4.72E-13
5:Del:R:0	1.28E-03
5:Del:R:1	7.03E-04
5:Del:R:2	6.62E-04
5:Del:R:3	2.12E-04
5:Del:R:4	4.69E-13
5:Del:R:5	4.81E-13
2:Ins:R:0	4.08E-04
2:Ins:R:1	5.31E-04
2:Ins:R:2	1.51E-04
2:Ins:R:3	3.88E-04
2:Ins:R:4	2.64E-04
2:Ins:R:5	1.06E-04
3:Ins:R:0	4.35E-04
3:Ins:R:1	2.87E-04
3:Ins:R:2	3.06E-04
3:Ins:R:3	2.70E-04
3:Ins:R:4	2.56E-04
3:Ins:R:5	4.78E-13
4:Ins:R:0	5.03E-04
4:Ins:R:1	2.57E-04
4:Ins:R:2	1.94E-04
4:Ins:R:3	2.04E-04
4:Ins:R:4	4.88E-13
4:Ins:R:5	4.59E-13
5:Ins:R:0	7.45E-04
5:Ins:R:1	9.49E-04
5:Ins:R:2	2.98E-04
5:Ins:R:3	4.76E-13
5:Ins:R:4	4.82E-13
5:Ins:R:5	4.88E-13
2:Del:M:1	9.37E-04
3:Del:M:1	7.75E-04
3:Del:M:2	8.87E-04
4:Del:M:1	4.11E-04
4:Del:M:2	4.38E-04
4:Del:M:3	4.31E-04
5:Del:M:1	1.55E-03
5:Del:M:2	1.17E-03
5:Del:M:3	6.98E-04
5:Del:M:4	4.08E-04
5:Del:M:5	1.19E-03
