MutationType	ID83A	ID83B
1:Del:C:0	3.94E-03	4.81E-03
1:Del:C:1	2.11E-03	2.05E-03
1:Del:C:2	3.85E-03	2.68E-03
1:Del:C:3	1.45E-03	1.28E-03
1:Del:C:4	1.24E-03	1.33E-03
1:Del:C:5	2.61E-03	2.79E-03
1:Del:T:0	2.95E-03	3.67E-03
1:Del:T:1	2.15E-03	1.73E-03
1:Del:T:2	1.99E-03	1.60E-03
1:Del:T:3	1.83E-03	2.43E-03
1:Del:T:4	1.84E-03	2.98E-03
1:Del:T:5	9.19E-03	1.12E-02
1:Ins:C:0	1.74E-03	1.50E-03
1:Ins:C:1	1.55E-03	1.95E-03
1:Ins:C:2	2.08E-03	1.80E-03
1:Ins:C:3	1.11E-03	1.16E-03
1:Ins:C:4	3.55E-04	1.24E-03
1:Ins:C:5	4.44E-03	6.08E-03
1:Ins:T:0	1.11E-03	1.76E-03
1:Ins:T:1	1.95E-03	3.21E-03
1:Ins:T:2	1.05E-03	6.80E-04
1:Ins:T:3	5.79E-08	8.00E-08
1:Ins:T:4	1.64E-04	5.13E-04
1:Ins:T:5	6.16E-03	5.88E-03
2:Del:R:0	2.64E-03	2.91E-03
2:Del:R:1	2.44E-03	1.82E-03
2:Del:R:2	1.16E-03	1.10E-03
2:Del:R:3	1.65E-03	3.18E-04
2:Del:R:4	5.03E-04	1.44E-03
2:Del:R:5	2.80E-03	2.89E-03
3:Del:R:0	9.75E-04	1.38E-07
3:Del:R:1	1.34E-03	1.29E-03
3:Del:R:2	1.22E-03	2.38E-03
3:Del:R:3	3.46E-03	4.25E-03
3:Del:R:4	2.58E-03	3.42E-03
3:Del:R:5	7.67E-04	6.75E-04
4:Del:R:0	8.65E-04	2.60E-07
4:Del:R:1	1.19E-03	5.02E-04
4:Del:R:2	3.17E-04	6.24E-04
4:Del:R:3	5.79E-08	8.00E-08
4:Del:R:4	5.79E-08	8.00E-08
4:Del:R:5	5.79E-08	8.00E-08
5:Del:R:0	3.16E-03	3.55E-03
5:Del:R:1	1.46E-03	2.83E-03
5:Del:R:2	2.39E-03	2.33E-03
5:Del:R:3	3.96E-04	3.56E-04
5:Del:R:4	5.79E-08	8.00E-08
5:Del:R:5	5.79E-08	8.00E-08
2:Ins:R:0	1.02E-03	6.39E-04
2:Ins:R:1	8.73E-04	4.92E-04
2:Ins:R:2	3.02E-04	1.83E-04
2:Ins:R:3	8.87E-04	8.60E-04
2:Ins:R:4	4.94E-04	1.67E-04
2:Ins:R:5	2.00E-04	9.28E-07
3:Ins:R:0	1.40E-03	1.17E-03
3:Ins:R:1	4.23E-04	7.97E-04
3:Ins:R:2	6.40E-04	1.67E-04
3:Ins:R:3	4.99E-04	1.41E-04
3:Ins:R:4	5.62E-04	1.99E-04
3:Ins:R:5	5.79E-08	8.00E-08
4:Ins:R:0	1.45E-03	8.47E-04
4:Ins:R:1	4.06E-04	7.61E-04
4:Ins:R:2	3.37E-04	2.82E-04
4:Ins:R:3	5.07E-04	3.63E-04
4:Ins:R:4	5.79E-08	8.00E-08
4:Ins:R:5	5.79E-08	8.00E-08
5:Ins:R:0	3.76E-03	4.93E-03
5:Ins:R:1	1.49E-03	2.15E-03
5:Ins:R:2	7.54E-04	3.21E-04
5:Ins:R:3	5.79E-08	8.00E-08
5:Ins:R:4	5.79E-08	8.00E-08
5:Ins:R:5	5.79E-08	8.00E-08
2:Del:M:1	2.44E-03	3.44E-03
3:Del:M:1	1.60E-03	1.47E-03
3:Del:M:2	2.11E-03	2.28E-03
4:Del:M:1	6.36E-04	7.40E-04
4:Del:M:2	1.20E-03	1.08E-03
4:Del:M:3	1.37E-03	1.03E-03
5:Del:M:1	4.80E-03	3.72E-03
5:Del:M:2	4.18E-03	3.53E-03
5:Del:M:3	1.30E-03	7.77E-04
5:Del:M:4	9.56E-04	8.40E-04
5:Del:M:5	2.85E-03	2.40E-03
