NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	38.605	110.512	7.802	71.99	1.059	0.62	40000.0
2	38.161	110.674	8.128	73.928	1.113	0.583	30000.0
3	38.517	111.476	8.027	74.149	1.085	0.581	40000.0
4	38.509	110.514	8.256	73.101	1.071	0.606	20000.0
5	38.279	112.583	8.196	74.426	1.123	0.581	40000.0
6	38.606	109.884	8.296	72.999	1.072	0.612	20000.0
7	38.527	113.941	8.373	75.463	1.149	0.566	30000.0
8	38.446	109.307	8.315	73.925	1.042	0.595	20000.0
9	38.115	109.509	8.253	73.365	1.072	0.595	20000.0
10	37.805	108.538	8.036	72.969	1.051	0.601	20000.0
