Samples	ID83A	ID83B	ID83C
27YO_UDI5	6	4	0
27YO_UDI6	16	3	0
CUH832_PBMC_CD4	31	26	2
CUH832_PBMC_CD8	47	3	4
CUH832_TILS_CD4	70	0	1
CUH832_TILS_CD8	0	87	0
Cordblood_D1	10	6	20
Cordblood_D2	0	0	34
Cordblood_H1	4	4	0
Cordblood_H2	0	6	3
Cordblood_H3	3	0	11
Cordblood_H4	0	2	26
Cordblood_H5	5	0	3
Cordblood_H6	8	0	4
Cordblood_H7	0	3	9
Cordblood_H8	0	10	1
LEGACY_I1	16	0	7
LEGACY_I2	0	23	13
LEGACY_I3	20	0	0
LEGACY_I4	3	18	10
LEGACY_I5	17	2	0
LEGACY_I6	13	51	0
LEGACY_I7	0	56	0
LEGACY_I8	6	12	0
UDI21_3x	65	1	21
UDI22_3x	42	46	33
UDI23_3x	84	78	3
UDI24_3x	109	0	27
UKCTOCS_UDI1	0	29	28
UKCTOCS_UDI2	9	0	42
UKCTOCS_UDI3	0	4	31
UKCTOCS_UDI4	0	2	26
UKCTOCS_UDI5	1	3	28
UKCTOCS_UDI6	4	0	29
UKCTOCS_UDI7	0	14	20
UKCTOCS_UDI8	0	0	22
