Samples	ID83A	ID83B	ID83C
27YO_UDI5	1.15E+00	1.29E+00	5.12E-01
27YO_UDI6	2.56E+00	2.58E+00	1.00E-01
CUH832_PBMC_CD4	5.66E+00	4.54E+00	2.99E+00
CUH832_PBMC_CD8	5.41E+00	5.79E+00	2.38E+00
CUH832_TILS_CD4	5.94E+00	5.34E+00	2.08E+00
CUH832_TILS_CD8	6.80E+00	8.67E+00	2.98E+00
Cordblood_D1	4.29E+00	2.74E+00	4.14E+00
Cordblood_D2	3.37E+00	9.00E-01	3.36E+00
Cordblood_H1	1.18E+00	1.20E+00	2.69E-01
Cordblood_H2	9.09E-01	1.42E+00	1.40E+00
Cordblood_H3	1.38E+00	1.43E+00	1.80E+00
Cordblood_H4	6.00E-01	2.82E+00	2.78E+00
Cordblood_H5	1.06E+00	1.06E+00	5.54E-01
Cordblood_H6	8.88E-01	9.78E-01	9.71E-01
Cordblood_H7	9.52E-01	1.58E+00	1.54E+00
Cordblood_H8	1.54E+00	1.58E+00	3.06E-01
LEGACY_I1	3.11E+00	2.17E+00	2.33E+00
LEGACY_I2	3.66E+00	3.55E+00	3.48E+00
LEGACY_I3	1.14E+00	1.13E+00	3.96E-01
LEGACY_I4	2.41E+00	2.76E+00	1.92E+00
LEGACY_I5	2.30E+00	2.73E+00	1.33E+00
LEGACY_I6	8.25E+00	7.99E+00	5.46E+00
LEGACY_I7	6.22E+00	5.59E+00	2.60E+00
LEGACY_I8	1.90E+00	1.81E+00	1.13E+00
UDI21_3x	3.71E+00	4.01E+00	4.26E+00
UDI22_3x	9.28E+00	9.62E+00	4.47E+00
UDI23_3x	1.70E+01	2.03E+01	7.13E+00
UDI24_3x	1.09E+01	7.35E+00	7.80E+00
UKCTOCS_UDI1	3.31E+00	6.79E+00	6.03E+00
UKCTOCS_UDI2	3.78E+00	3.59E+00	4.65E+00
UKCTOCS_UDI3	2.44E+00	2.18E+00	3.21E+00
UKCTOCS_UDI4	7.30E-01	1.43E+00	1.67E+00
UKCTOCS_UDI5	1.63E+00	3.19E+00	3.13E+00
UKCTOCS_UDI6	2.00E+00	1.78E+00	2.25E+00
UKCTOCS_UDI7	1.28E+00	3.94E+00	3.43E+00
UKCTOCS_UDI8	7.00E-01	1.07E+00	1.16E+00
