MutationType	ID83A	ID83B	ID83C
1:Del:C:0	5.67E-03	1.43E-02	6.06E-03
1:Del:C:1	3.35E-03	3.49E-03	3.21E-03
1:Del:C:2	7.76E-03	3.25E-03	5.21E-03
1:Del:C:3	3.00E-03	2.55E-03	1.38E-03
1:Del:C:4	1.74E-03	4.32E-03	3.35E-03
1:Del:C:5	6.37E-03	7.01E-03	1.05E-02
1:Del:T:0	9.68E-03	1.19E-02	4.61E-03
1:Del:T:1	3.29E-03	6.66E-03	1.46E-03
1:Del:T:2	4.72E-03	3.64E-03	1.45E-03
1:Del:T:3	2.22E-03	5.55E-03	3.05E-03
1:Del:T:4	1.98E-03	2.13E-03	2.92E-03
1:Del:T:5	1.33E-02	1.32E-02	8.37E-03
1:Ins:C:0	1.47E-03	4.05E-03	2.18E-03
1:Ins:C:1	2.21E-03	3.79E-03	4.28E-03
1:Ins:C:2	2.56E-03	7.99E-03	3.85E-03
1:Ins:C:3	8.63E-04	2.04E-03	1.21E-03
1:Ins:C:4	1.76E-03	1.07E-03	1.61E-03
1:Ins:C:5	1.10E-02	3.36E-03	1.04E-02
1:Ins:T:0	4.93E-04	3.22E-03	2.90E-03
1:Ins:T:1	2.49E-03	3.70E-03	3.77E-03
1:Ins:T:2	2.00E-03	1.72E-03	5.28E-04
1:Ins:T:3	1.80E-07	1.88E-07	1.31E-07
1:Ins:T:4	5.28E-04	4.20E-04	3.66E-07
1:Ins:T:5	6.61E-03	1.20E-02	1.09E-02
2:Del:R:0	2.39E-03	5.19E-03	2.94E-03
2:Del:R:1	4.11E-03	3.85E-03	3.23E-03
2:Del:R:2	1.45E-03	2.65E-03	8.73E-04
2:Del:R:3	2.41E-03	2.07E-03	5.50E-07
2:Del:R:4	5.85E-04	2.04E-03	5.50E-04
2:Del:R:5	2.65E-03	5.66E-03	2.15E-03
3:Del:R:0	5.83E-03	4.44E-03	3.73E-07
3:Del:R:1	3.57E-03	4.56E-03	2.12E-03
3:Del:R:2	1.85E-03	2.97E-03	2.49E-03
3:Del:R:3	4.98E-03	2.42E-03	4.41E-03
3:Del:R:4	3.28E-03	4.54E-03	4.85E-03
3:Del:R:5	1.34E-03	1.09E-03	7.56E-04
4:Del:R:0	1.29E-03	2.33E-03	7.19E-04
4:Del:R:1	1.94E-03	1.94E-03	1.21E-06
4:Del:R:2	6.93E-04	3.44E-04	6.97E-04
4:Del:R:3	1.80E-07	1.88E-07	1.31E-07
4:Del:R:4	1.80E-07	1.88E-07	1.31E-07
4:Del:R:5	1.80E-07	1.88E-07	1.31E-07
5:Del:R:0	7.12E-03	5.37E-03	4.68E-03
5:Del:R:1	3.25E-03	3.76E-03	3.86E-03
5:Del:R:2	4.07E-03	2.74E-03	9.27E-04
5:Del:R:3	1.48E-04	1.73E-04	7.10E-04
5:Del:R:4	1.80E-07	1.88E-07	1.31E-07
5:Del:R:5	1.80E-07	1.88E-07	1.31E-07
2:Ins:R:0	7.48E-04	1.68E-03	4.43E-07
2:Ins:R:1	1.42E-03	1.99E-03	1.11E-03
2:Ins:R:2	3.76E-04	1.69E-04	1.35E-06
2:Ins:R:3	8.61E-04	1.12E-03	1.04E-03
2:Ins:R:4	6.10E-04	6.15E-04	2.71E-07
2:Ins:R:5	3.45E-04	1.69E-04	1.34E-06
3:Ins:R:0	1.66E-03	2.71E-03	1.60E-03
3:Ins:R:1	6.10E-04	8.26E-04	8.80E-04
3:Ins:R:2	8.82E-04	9.73E-04	1.26E-03
3:Ins:R:3	6.56E-04	2.65E-07	2.05E-04
3:Ins:R:4	8.00E-04	8.13E-04	2.64E-07
3:Ins:R:5	1.80E-07	1.88E-07	1.31E-07
4:Ins:R:0	1.71E-03	1.27E-03	4.66E-04
4:Ins:R:1	4.19E-04	9.20E-04	1.22E-03
4:Ins:R:2	4.82E-04	2.53E-07	4.29E-04
4:Ins:R:3	7.93E-04	5.78E-04	5.81E-04
4:Ins:R:4	1.80E-07	1.88E-07	1.31E-07
4:Ins:R:5	1.80E-07	1.88E-07	1.31E-07
5:Ins:R:0	5.28E-03	7.93E-03	2.41E-03
5:Ins:R:1	9.90E-04	5.42E-03	6.41E-03
5:Ins:R:2	3.83E-04	1.09E-03	8.22E-05
5:Ins:R:3	1.80E-07	1.88E-07	1.31E-07
5:Ins:R:4	1.80E-07	1.88E-07	1.31E-07
5:Ins:R:5	1.80E-07	1.88E-07	1.31E-07
2:Del:M:1	4.57E-03	5.79E-03	3.44E-03
3:Del:M:1	2.99E-03	2.27E-03	3.10E-03
3:Del:M:2	2.40E-03	3.99E-03	2.02E-03
4:Del:M:1	1.10E-03	1.82E-03	9.84E-04
4:Del:M:2	2.08E-03	2.20E-03	1.26E-03
4:Del:M:3	1.87E-03	2.87E-03	1.44E-03
5:Del:M:1	5.78E-03	9.74E-03	3.29E-03
5:Del:M:2	8.68E-03	9.23E-03	1.52E-03
5:Del:M:3	3.03E-03	3.13E-03	8.11E-04
5:Del:M:4	1.18E-03	1.62E-03	1.16E-03
5:Del:M:5	3.56E-03	4.14E-03	3.06E-03
