Samples	ID83A	ID83B	ID83C	ID83D
27YO_UDI5	0	10	0	0
27YO_UDI6	12	7	0	0
CUH832_PBMC_CD4	4	43	11	1
CUH832_PBMC_CD8	22	26	1	5
CUH832_TILS_CD4	68	0	0	3
CUH832_TILS_CD8	18	30	39	0
Cordblood_D1	8	5	0	23
Cordblood_D2	0	0	0	34
Cordblood_H1	0	8	0	0
Cordblood_H2	0	4	3	2
Cordblood_H3	1	0	9	4
Cordblood_H4	0	0	24	4
Cordblood_H5	2	3	0	3
Cordblood_H6	4	3	0	5
Cordblood_H7	0	0	12	0
Cordblood_H8	4	0	7	0
LEGACY_I1	11	0	12	0
LEGACY_I2	0	4	32	0
LEGACY_I3	20	0	0	0
LEGACY_I4	8	0	23	0
LEGACY_I5	5	12	0	2
LEGACY_I6	3	50	7	4
LEGACY_I7	0	56	0	0
LEGACY_I8	0	16	1	1
UDI21_3x	55	0	23	9
UDI22_3x	53	0	64	4
UDI23_3x	69	65	15	16
UDI24_3x	69	30	0	37
UKCTOCS_UDI1	1	5	43	8
UKCTOCS_UDI2	6	0	0	45
UKCTOCS_UDI3	0	1	6	28
UKCTOCS_UDI4	0	0	15	13
UKCTOCS_UDI5	0	0	18	14
UKCTOCS_UDI6	0	3	0	30
UKCTOCS_UDI7	0	8	14	12
UKCTOCS_UDI8	0	0	0	22
