Samples	ID83A	ID83B	ID83C	ID83D
27YO_UDI5	1.29E+00	1.37E+00	7.34E-01	3.42E-01
27YO_UDI6	2.39E+00	2.71E+00	2.17E+00	1.33E-01
CUH832_PBMC_CD4	7.14E+00	7.15E+00	3.85E+00	2.29E+00
CUH832_PBMC_CD8	5.26E+00	6.00E+00	2.35E+00	1.22E+00
CUH832_TILS_CD4	5.60E+00	3.45E+00	2.38E+00	2.95E+00
CUH832_TILS_CD8	5.81E+00	8.78E+00	1.15E+01	5.14E+00
Cordblood_D1	3.16E+00	1.46E+00	3.86E+00	3.68E+00
Cordblood_D2	7.37E-01	0.00E+00	3.40E+00	3.36E+00
Cordblood_H1	1.20E+00	1.26E+00	4.27E-01	1.00E-01
Cordblood_H2	9.80E-01	1.06E+00	1.37E+00	1.26E+00
Cordblood_H3	1.67E+00	8.60E-01	1.97E+00	1.47E+00
Cordblood_H4	0.00E+00	3.00E-01	3.40E+00	3.52E+00
Cordblood_H5	1.11E+00	8.31E-01	0.00E+00	9.09E-01
Cordblood_H6	6.71E-01	4.00E-01	1.29E+00	1.45E+00
Cordblood_H7	8.14E-01	1.56E+00	1.34E+00	1.33E+00
Cordblood_H8	1.41E+00	1.50E+00	1.33E+00	5.33E-01
LEGACY_I1	2.33E+00	1.21E+00	2.25E+00	2.44E+00
LEGACY_I2	0.00E+00	2.88E+00	4.95E+00	4.15E+00
LEGACY_I3	1.33E+00	1.41E+00	0.00E+00	2.67E-01
LEGACY_I4	3.06E+00	3.32E+00	3.88E+00	2.28E+00
LEGACY_I5	2.23E+00	2.42E+00	2.46E+00	6.29E-01
LEGACY_I6	8.66E+00	9.19E+00	4.47E+00	0.00E+00
LEGACY_I7	4.66E+00	5.11E+00	4.23E+00	2.00E+00
LEGACY_I8	2.13E+00	2.00E+00	1.51E+00	4.00E-01
UDI21_3x	6.74E+00	4.06E+00	4.11E+00	4.03E+00
UDI22_3x	7.38E+00	6.88E+00	7.72E+00	6.10E+00
UDI23_3x	1.93E+01	1.81E+01	1.80E+01	5.13E+00
UDI24_3x	1.18E+01	1.24E+01	1.12E+01	8.09E+00
UKCTOCS_UDI1	2.53E+00	3.43E+00	5.44E+00	5.04E+00
UKCTOCS_UDI2	8.14E-01	4.00E-01	2.29E+00	2.14E+00
UKCTOCS_UDI3	1.38E+00	1.19E+00	3.06E+00	3.07E+00
UKCTOCS_UDI4	2.75E+00	1.16E+00	3.84E+00	3.51E+00
UKCTOCS_UDI5	8.57E-01	9.34E-01	3.99E+00	3.91E+00
UKCTOCS_UDI6	2.39E+00	1.13E+00	3.70E+00	3.66E+00
UKCTOCS_UDI7	2.00E-01	1.93E+00	3.93E+00	3.76E+00
UKCTOCS_UDI8	1.60E+00	0.00E+00	1.14E+00	1.78E+00
