MutationType	ID83A	ID83B	ID83C	ID83D
1:Del:C:0	7.89E-03	7.93E-03	1.02E-02	6.79E-03
1:Del:C:1	3.80E-03	6.43E-03	4.82E-03	4.50E-03
1:Del:C:2	9.07E-03	4.29E-03	2.31E-03	3.27E-03
1:Del:C:3	4.55E-03	5.59E-03	3.57E-03	4.26E-03
1:Del:C:4	1.44E-03	3.25E-03	3.17E-03	4.25E-03
1:Del:C:5	2.39E-03	1.85E-03	1.28E-02	1.23E-02
1:Del:T:0	7.49E-03	9.39E-03	1.25E-02	6.84E-03
1:Del:T:1	3.25E-03	4.98E-03	5.48E-03	3.24E-03
1:Del:T:2	4.60E-03	5.84E-03	3.22E-03	1.98E-03
1:Del:T:3	1.83E-03	3.83E-03	5.19E-03	3.36E-03
1:Del:T:4	2.73E-03	4.72E-03	1.98E-03	3.64E-03
1:Del:T:5	1.42E-02	8.09E-03	1.65E-02	1.03E-02
1:Ins:C:0	3.46E-03	3.19E-03	5.13E-03	1.52E-03
1:Ins:C:1	1.51E-03	2.84E-03	7.82E-03	3.43E-03
1:Ins:C:2	3.31E-03	8.06E-03	4.61E-03	2.85E-03
1:Ins:C:3	1.15E-03	1.16E-03	2.08E-03	1.62E-03
1:Ins:C:4	7.91E-04	7.95E-04	1.62E-03	2.62E-03
1:Ins:C:5	7.98E-03	3.65E-03	6.47E-03	1.35E-02
1:Ins:T:0	5.19E-04	1.80E-03	2.39E-03	3.24E-03
1:Ins:T:1	3.11E-03	6.54E-03	6.46E-03	3.12E-03
1:Ins:T:2	3.16E-03	2.24E-03	1.25E-03	1.22E-03
1:Ins:T:3	1.11E-07	3.51E-07	3.39E-07	1.77E-07
1:Ins:T:4	1.99E-04	8.17E-04	1.05E-03	3.93E-07
1:Ins:T:5	9.29E-03	8.02E-03	1.53E-02	1.46E-02
2:Del:R:0	2.43E-03	5.89E-03	4.86E-03	1.64E-03
2:Del:R:1	4.04E-03	6.69E-03	9.00E-03	2.87E-03
2:Del:R:2	1.82E-03	2.80E-03	2.78E-03	1.08E-03
