Samples	ID83A	ID83B	ID83C	ID83D	ID83E
27YO_UDI5	0	0	0	10	0
27YO_UDI6	8	0	0	11	0
CUH832_PBMC_CD4	0	0	6	38	15
CUH832_PBMC_CD8	6	0	4	44	0
CUH832_TILS_CD4	38	0	0	33	0
CUH832_TILS_CD8	0	37	0	20	30
Cordblood_D1	16	7	13	0	0
Cordblood_D2	8	0	26	0	0
Cordblood_H1	0	0	0	4	4
Cordblood_H2	0	3	2	0	4
Cordblood_H3	0	6	7	0	1
Cordblood_H4	0	19	9	0	0
Cordblood_H5	2	0	3	0	3
Cordblood_H6	4	0	3	1	4
Cordblood_H7	0	11	1	0	0
Cordblood_H8	0	5	0	6	0
LEGACY_I1	7	7	3	5	1
LEGACY_I2	0	36	0	0	0
LEGACY_I3	14	0	0	0	6
LEGACY_I4	4	27	0	0	0
LEGACY_I5	8	0	0	11	0
LEGACY_I6	0	6	3	0	55
LEGACY_I7	0	0	0	8	48
LEGACY_I8	3	1	0	6	8
UDI21_3x	49	29	2	5	2
UDI22_3x	46	67	1	2	5
UDI23_3x	64	24	0	66	11
UDI24_3x	120	0	10	0	6
UKCTOCS_UDI1	0	29	15	0	13
UKCTOCS_UDI2	15	0	36	0	0
UKCTOCS_UDI3	0	1	30	0	4
UKCTOCS_UDI4	0	10	18	0	0
UKCTOCS_UDI5	0	0	24	0	8
UKCTOCS_UDI6	6	0	27	0	0
UKCTOCS_UDI7	0	8	16	0	10
UKCTOCS_UDI8	1	0	21	0	0
