Samples	ID83A	ID83B	ID83C	ID83D	ID83E
27YO_UDI5	1.11E+00	1.00E+00	3.40E-01	1.20E+00	1.26E+00
27YO_UDI6	2.62E+00	2.51E+00	0.00E+00	2.02E+00	1.89E+00
CUH832_PBMC_CD4	2.68E+00	1.36E+00	3.30E+00	6.80E+00	7.34E+00
CUH832_PBMC_CD8	6.68E+00	1.08E+00	1.61E+00	6.85E+00	3.29E+00
CUH832_TILS_CD4	8.51E+00	5.43E+00	1.82E+00	7.88E+00	5.92E+00
CUH832_TILS_CD8	2.20E+00	9.85E+00	7.27E-01	8.43E+00	9.18E+00
Cordblood_D1	3.89E+00	3.71E+00	3.37E+00	3.08E+00	1.39E+00
Cordblood_D2	3.36E+00	1.00E+00	3.10E+00	1.45E+00	0.00E+00
Cordblood_H1	5.37E-01	8.00E-01	0.00E+00	1.01E+00	1.10E+00
Cordblood_H2	9.00E-01	1.28E+00	1.20E+00	9.00E-01	1.17E+00
Cordblood_H3	5.00E-01	1.81E+00	1.87E+00	1.00E+00	1.42E+00
Cordblood_H4	9.52E-01	3.16E+00	2.76E+00	1.10E+00	9.00E-01
Cordblood_H5	9.31E-01	3.67E-01	7.27E-01	3.00E-01	6.16E-01
Cordblood_H6	6.70E-01	9.87E-01	1.33E+00	1.22E+00	1.38E+00
Cordblood_H7	6.00E-01	1.55E+00	1.24E+00	1.23E+00	2.13E-01
Cordblood_H8	6.40E-01	1.28E+00	1.16E+00	1.53E+00	0.00E+00
LEGACY_I1	1.62E+00	2.53E+00	1.67E+00	2.76E+00	1.85E+00
LEGACY_I2	1.70E+00	3.99E+00	2.69E+00	1.19E+00	2.06E+00
LEGACY_I3	2.34E+00	7.92E-01	0.00E+00	1.74E+00	2.01E+00
LEGACY_I4	3.29E+00	2.21E+00	1.21E+00	2.59E+00	7.30E-01
LEGACY_I5	2.85E+00	1.39E+00	0.00E+00	2.64E+00	1.40E+00
LEGACY_I6	6.34E+00	2.97E+00	2.09E+00	9.00E-01	6.75E+00
LEGACY_I7	6.00E-01	5.24E+00	1.48E+00	4.70E+00	6.08E+00
LEGACY_I8	1.55E+00	1.46E+00	1.20E+00	1.15E+00	1.99E+00
UDI21_3x	9.18E+00	4.62E+00	2.73E+00	8.63E+00	1.81E+00
UDI22_3x	1.23E+01	1.11E+01	4.29E+00	7.39E+00	5.79E+00
UDI23_3x	1.95E+01	6.76E+00	2.41E+00	1.68E+01	8.15E+00
UDI24_3x	9.92E+00	8.67E+00	4.46E+00	7.20E+00	3.14E+00
UKCTOCS_UDI1	3.00E-01	5.89E+00	5.50E+00	4.09E+00	4.65E+00
UKCTOCS_UDI2	3.80E+00	2.52E+00	4.24E+00	2.00E-01	9.80E-01
UKCTOCS_UDI3	1.53E+00	2.80E+00	2.37E+00	8.95E-01	1.46E+00
UKCTOCS_UDI4	7.00E-01	3.65E+00	2.72E+00	1.72E+00	5.67E-01
UKCTOCS_UDI5	1.32E+00	2.12E+00	3.21E+00	1.11E+00	2.24E+00
UKCTOCS_UDI6	2.58E+00	1.79E+00	2.47E+00	1.79E+00	3.00E-01
UKCTOCS_UDI7	1.49E+00	3.05E+00	3.46E+00	1.80E+00	3.19E+00
UKCTOCS_UDI8	9.00E-01	2.20E+00	2.21E+00	2.00E-01	0.00E+00
