MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
1:Del:C:0	7.48E-03	1.16E-02	3.56E-03	1.50E-02	7.60E-03
1:Del:C:1	4.80E-03	6.85E-03	1.82E-03	7.89E-03	6.14E-03
1:Del:C:2	1.11E-02	2.97E-03	4.12E-03	5.65E-03	5.53E-03
1:Del:C:3	3.49E-03	5.22E-03	3.38E-06	2.96E-03	5.89E-03
1:Del:C:4	2.14E-03	4.65E-03	3.95E-03	2.20E-03	3.88E-03
1:Del:C:5	1.23E-02	6.88E-03	1.61E-02	4.50E-03	3.42E-03
1:Del:T:0	7.26E-03	8.00E-03	9.85E-03	1.16E-02	1.23E-02
1:Del:T:1	3.09E-03	5.21E-03	1.37E-03	1.57E-02	7.57E-03
1:Del:T:2	4.96E-03	2.55E-03	2.25E-03	6.03E-03	3.82E-03
1:Del:T:3	1.65E-03	6.10E-03	2.81E-03	7.19E-03	7.02E-03
1:Del:T:4	2.25E-03	7.22E-03	1.55E-03	2.49E-03	1.85E-03
1:Del:T:5	1.41E-02	2.64E-02	1.66E-02	1.27E-02	1.04E-02
1:Ins:C:0	1.27E-03	5.13E-03	2.81E-03	1.53E-03	3.01E-03
1:Ins:C:1	4.02E-03	3.99E-03	5.83E-03	3.20E-03	5.49E-03
1:Ins:C:2	1.06E-03	4.09E-03	5.22E-03	3.43E-07	9.83E-03
1:Ins:C:3	7.96E-04	4.54E-04	2.02E-03	2.70E-03	1.90E-03
1:Ins:C:4	1.16E-03	7.90E-04	3.17E-03	1.22E-03	1.31E-03
1:Ins:C:5	2.09E-02	5.31E-03	7.98E-03	6.35E-03	3.19E-07
1:Ins:T:0	1.50E-06	1.45E-03	2.90E-03	2.17E-03	2.63E-03
1:Ins:T:1	3.56E-03	3.92E-03	7.04E-03	5.25E-03	1.12E-02
1:Ins:T:2	2.93E-03	1.83E-03	6.16E-04	4.93E-03	1.61E-03
1:Ins:T:3	1.56E-07	3.31E-07	1.56E-07	2.92E-07	2.15E-07
1:Ins:T:4	2.76E-04	1.24E-03	8.46E-04	8.84E-04	2.87E-07
1:Ins:T:5	6.20E-03	1.11E-02	1.28E-02	1.02E-02	1.12E-02
2:Del:R:0	1.61E-03	7.25E-03	1.81E-03	5.21E-03	8.11E-03
2:Del:R:1	4.97E-03	5.56E-03	3.93E-03	6.44E-03	6.88E-03
2:Del:R:2	1.60E-03	1.99E-03	5.10E-07	5.20E-03	2.44E-03
2:Del:R:3	2.46E-03	3.18E-03	1.75E-07	2.38E-03	3.49E-03
2:Del:R:4	6.69E-04	3.05E-03	2.25E-03	2.52E-03	4.43E-04
2:Del:R:5	4.33E-03	5.55E-03	5.51E-03	6.75E-03	7.16E-03
3:Del:R:0	6.18E-03	4.77E-03	1.76E-07	4.84E-03	2.84E-03
3:Del:R:1	5.52E-03	4.11E-03	1.40E-03	8.43E-03	2.25E-03
3:Del:R:2	3.02E-03	1.45E-03	2.71E-03	4.56E-03	3.19E-03
3:Del:R:3	4.16E-03	6.36E-03	7.69E-03	1.12E-02	5.36E-03
3:Del:R:4	4.70E-03	1.51E-02	5.14E-03	4.02E-03	1.54E-03
3:Del:R:5	1.16E-03	1.35E-03	5.93E-04	1.18E-03	9.34E-04
4:Del:R:0	1.65E-03	2.99E-03	6.76E-04	2.79E-03	1.76E-03
