Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
27YO_UDI5	10	0.589	13.645	136.45%	2.805	80.973%	1.30894	0.525
27YO_UDI6	19	0.581	20.797	109.458%	4.112	82.24%	1.12848	0.455
CUH832_PBMC_CD4	59	0.862	38.344	64.99%	6.435	50.715%	0.42696	0.808
CUH832_PBMC_CD8	54	0.849	37.735	69.88%	6.303	52.894%	0.48727	0.793
CUH832_TILS_CD4	71	0.772	52.405	73.81%	11.898	63.872%	0.50976	0.717
CUH832_TILS_CD8	87	0.891	46.976	53.995%	8.116	45.441%	0.33415	0.843
Cordblood_D1	36	0.824	29.66	82.389%	5.311	56.615%	0.58596	0.781
Cordblood_D2	34	0.744	31.096	91.459%	8.513	66.884%	0.6249	0.715
Cordblood_H1	8	0.624	11.653	145.662%	2.519	79.658%	1.50236	0.594
Cordblood_H2	9	0.548	12.171	135.233%	2.512	83.733%	2.0062	0.465
Cordblood_H3	14	0.715	16.127	115.193%	3.131	70.011%	1.0268	0.667
Cordblood_H4	28	0.862	24.627	87.954%	4.738	52.972%	0.73849	0.846
Cordblood_H5	8	0.716	10.377	129.712%	2.292	72.479%	1.28482	0.699
Cordblood_H6	12	0.672	13.161	109.675%	2.778	74.245%	0.99599	0.612
Cordblood_H7	12	0.661	14.674	122.283%	2.808	75.047%	1.45553	0.598
Cordblood_H8	11	0.59	15.862	144.2%	3.358	81.443%	1.58845	0.542
LEGACY_I1	23	0.713	26.076	113.374%	4.727	70.466%	1.01703	0.656
LEGACY_I2	36	0.896	22.714	63.094%	3.765	44.371%	0.47272	0.865
LEGACY_I3	20	0.695	20.006	100.03%	3.94	71.934%	0.85096	0.619
LEGACY_I4	31	0.845	27.073	87.332%	4.914	55.287%	0.64474	0.821
LEGACY_I5	19	0.618	21.979	115.679%	4.515	78.596%	1.02841	0.537
LEGACY_I6	64	0.901	34.557	53.995%	5.839	43.521%	0.34189	0.861
LEGACY_I7	56	0.907	34.263	61.184%	6.048	43.648%	0.37567	0.887
LEGACY_I8	18	0.672	19.562	108.678%	3.477	74.13%	1.0758	0.577
UDI21_3x	87	0.913	46.155	53.052%	7.857	41.125%	0.32403	0.884
UDI22_3x	121	0.941	56.371	46.588%	8.849	34.161%	0.24391	0.921
UDI23_3x	165	0.957	61.35	37.182%	9.731	29.569%	0.16287	0.939
UDI24_3x	136	0.948	54.074	39.76%	8.966	32.021%	0.17727	0.926
UKCTOCS_UDI1	57	0.87	37.545	65.868%	6.277	49.78%	0.50624	0.825
UKCTOCS_UDI2	51	0.91	32.32	63.373%	6.034	41.54%	0.41231	0.893
UKCTOCS_UDI3	35	0.943	24.277	69.363%	4.637	37.007%	0.49831	0.94
UKCTOCS_UDI4	28	0.894	21.053	75.189%	4.082	45.638%	0.67287	0.879
UKCTOCS_UDI5	32	0.889	21.771	68.034%	4.342	45.769%	0.4721	0.871
UKCTOCS_UDI6	33	0.91	22.082	66.915%	4.49	41.869%	0.52966	0.898
UKCTOCS_UDI7	34	0.871	26.28	77.294%	4.912	50.133%	0.57904	0.85
UKCTOCS_UDI8	22	0.94	14.54	66.091%	3.133	37.447%	0.47988	0.936
