Samples	ID2	ID7	ID8	ID23	ID25
27YO_UDI5	0	0	0	10	0
27YO_UDI6	0	0	9	10	0
CUH832_PBMC_CD4	8	0	25	26	0
CUH832_PBMC_CD8	0	0	29	0	25
CUH832_TILS_CD4	0	0	54	0	17
CUH832_TILS_CD8	0	0	30	35	22
Cordblood_D1	4	15	9	0	8
Cordblood_D2	0	34	0	0	0
Cordblood_H1	0	0	0	8	0
Cordblood_H2	0	0	0	0	9
Cordblood_H3	14	0	0	0	0
Cordblood_H4	8	0	0	0	20
Cordblood_H5	3	0	0	0	5
Cordblood_H6	0	0	0	12	0
Cordblood_H7	0	0	0	0	12
Cordblood_H8	0	0	7	0	4
LEGACY_I1	8	0	15	0	0
LEGACY_I2	0	0	0	0	36
LEGACY_I3	0	0	20	0	0
LEGACY_I4	0	0	0	0	31
LEGACY_I5	0	0	0	19	0
LEGACY_I6	13	0	0	51	0
LEGACY_I7	0	0	12	30	14
LEGACY_I8	0	0	0	18	0
UDI21_3x	19	0	41	0	27
UDI22_3x	15	0	47	0	59
UDI23_3x	16	0	58	61	30
UDI24_3x	28	0	36	72	0
UKCTOCS_UDI1	15	0	0	0	42
UKCTOCS_UDI2	15	22	0	0	14
UKCTOCS_UDI3	9	10	0	0	16
UKCTOCS_UDI4	12	0	0	0	16
UKCTOCS_UDI5	15	0	0	0	17
UKCTOCS_UDI6	12	9	0	0	12
UKCTOCS_UDI7	5	11	0	0	18
UKCTOCS_UDI8	8	6	0	0	8
