MutationType	ID2	ID7	ID8	ID23	ID25
1:Del:C:0	0.00482412	0.00046656	0.03982756	0.05169788	0.03316423
1:Del:C:1	0.00002210	0.00000000	0.02391594	0.10619410	0.01537897
1:Del:C:2	0.00000311	0.00856194	0.00333055	0.05287559	0.01384408
1:Del:C:3	0.00247208	0.04236015	0.00540315	0.03862287	0.00689178
1:Del:C:4	0.00385698	0.11489191	0.00127571	0.01125206	0.00438559
1:Del:C:5	0.01461542	0.25176314	0.00093373	0.00573968	0.00642889
1:Del:T:0	0.00790597	0.00266749	0.03424369	0.21323872	0.26254261
1:Del:T:1	0.00000000	0.00773273	0.01045208	0.11431327	0.01134398
1:Del:T:2	0.00703642	0.00025476	0.00899203	0.05769072	0.01532400
1:Del:T:3	0.02023474	0.02897274	0.00982504	0.03864648	0.01790305
1:Del:T:4	0.04711993	0.15885055	0.00127378	0.01990450	0.01025024
1:Del:T:5	0.81469723	0.00000019	0.01062034	0.00484058	0.04611943
1:Ins:C:0	0.00000000	0.00067237	0.00276427	0.00228553	0.00112228
1:Ins:C:1	0.00022703	0.00002620	0.00216912	0.00057783	0.00494242
1:Ins:C:2	0.00002620	0.00002580	0.00152700	0.00147472	0.00230421
1:Ins:C:3	0.00043005	0.00240773	0.00011652	0.00171284	0.01107799
1:Ins:C:4	0.00291185	0.01548543	0.00055418	0.00010835	0.00302963
1:Ins:C:5	0.00901754	0.06034323	0.00048949	0.00126133	0.02183345
1:Ins:T:0	0.00132856	0.00000136	0.00450798	0.00623642	0.01448952
1:Ins:T:1	0.00000000	0.00037365	0.00486870	0.01262155	0.01618837
1:Ins:T:2	0.00064703	0.01838271	0.00142964	0.01057210	0.00597962
1:Ins:T:3	0.00108288	0.00889164	0.00108729	0.00581943	0.00563053
1:Ins:T:4	0.00348746	0.01278797	0.00082262	0.00330097	0.00357056
1:Ins:T:5	0.00313258	0.01078985	0.02016125	0.00027934	0.34213643
2:Del:R:0	0.00016381	0.00002330	0.00876922	0.02385067	0.00488513
2:Del:R:1	0.00356888	0.00818230	0.01030715	0.05613034	0.01295105
2:Del:R:2	0.00184957	0.00899154	0.00053203	0.02322644	0.00651219
2:Del:R:3	0.00073904	0.07213214	0.00002710	0.00668162	0.00184115
2:Del:R:4	0.00088193	0.05225084	0.00027403	0.00180121	0.00129842
2:Del:R:5	0.00000000	0.05704633	0.00083308	0.00049256	0.00017077
3:Del:R:0	0.00001250	0.00062541	0.01096410	0.00495202	0.00085435
3:Del:R:1	0.00500326	0.01168900	0.00134887	0.00300516	0.01169181
3:Del:R:2	0.00228989	0.00547485	0.00037657	0.00049782	0.00111746
3:Del:R:3	0.00040259	0.00345675	0.00025351	0.00010400	0.00002435
