Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
27YO_UDI5	10	0.467	13.186	131.86%	3.354	96.822%	2.34575	0.397
27YO_UDI6	19	0.515	22.529	118.574%	4.976	99.52%	1.59826	0.415
CUH832_PBMC_CD4	59	0.713	57.898	98.132%	10.998	86.676%	1.31216	0.639
CUH832_PBMC_CD8	54	0.657	57.475	106.435%	12.734	106.861%	1.44787	0.594
CUH832_TILS_CD4	71	0.838	56.372	79.397%	12.923	69.374%	0.78461	0.816
CUH832_TILS_CD8	87	0.799	66.371	76.289%	13.77	77.097%	0.69171	0.75
Cordblood_D1	36	0.778	31.05	86.25%	6.037	64.355%	1.00584	0.726
Cordblood_D2	34	0.625	42.464	124.894%	10.653	83.698%	4.5265	0.587
Cordblood_H1	8	0.492	11.991	149.888%	2.877	90.979%	2.7051	0.436
Cordblood_H2	9	0.509	12.812	142.356%	3.539	117.967%	3.04565	0.467
Cordblood_H3	14	0.671	21.798	155.7%	9.062	202.632%	9.19827	0.672
Cordblood_H4	28	0.71	31.632	112.971%	8.163	91.265%	2.24349	0.683
Cordblood_H5	8	0.77	7.869	98.362%	2.269	71.752%	2.16486	0.753
Cordblood_H6	12	0.37	17.804	148.367%	4.111	109.871%	2.82854	0.277
Cordblood_H7	12	0.459	18.351	152.925%	4.863	129.969%	3.59241	0.409
Cordblood_H8	11	0.613	12.813	116.482%	3.39	82.22%	2.69391	0.57
LEGACY_I1	23	0.77	24.904	108.278%	5.732	85.448%	2.05447	0.747
LEGACY_I2	36	0.683	42.541	118.169%	11.764	138.64%	1.94392	0.661
LEGACY_I3	20	0.437	29.408	147.04%	7.43	135.653%	2.55119	0.37
LEGACY_I4	31	0.682	36.82	118.774%	9.955	112.003%	1.51587	0.655
LEGACY_I5	19	0.419	27.538	144.937%	6.152	107.093%	2.85411	0.329
LEGACY_I6	64	0.652	73.364	114.631%	14.339	106.877%	1.79734	0.578
LEGACY_I7	56	0.808	48.252	86.164%	8.939	64.512%	1.26621	0.765
LEGACY_I8	18	0.54	22.036	122.422%	4.863	103.68%	2.7727	0.456
UDI21_3x	87	0.853	72.381	83.197%	14.969	78.351%	1.11982	0.836
UDI22_3x	121	0.859	97.853	80.87%	19.903	76.835%	0.81158	0.843
UDI23_3x	165	0.914	93.22	56.497%	17.917	54.444%	0.55502	0.899
UDI24_3x	136	0.842	99.4	73.088%	20.219	72.211%	0.7271	0.809
UKCTOCS_UDI1	57	0.673	67.948	119.207%	17.512	138.879%	1.68055	0.646
UKCTOCS_UDI2	51	0.795	47.393	92.927%	10.224	70.385%	1.10084	0.766
UKCTOCS_UDI3	35	0.901	26.748	76.423%	5.452	43.512%	0.72821	0.89
UKCTOCS_UDI4	28	0.815	29.672	105.971%	7.505	83.908%	1.81573	0.803
UKCTOCS_UDI5	32	0.731	37.928	118.525%	10.41	109.731%	1.9945	0.713
UKCTOCS_UDI6	33	0.875	28.124	85.224%	5.95	55.484%	1.10024	0.862
UKCTOCS_UDI7	34	0.918	23.015	67.691%	4.107	41.917%	0.88217	0.906
UKCTOCS_UDI8	22	0.862	17.941	81.55%	4.346	51.945%	1.10972	0.85
