Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
27YO_UDI5	10	0.552	13.788	137.88%	2.89	83.427%	1.44793	0.476
27YO_UDI6	19	0.599	20.681	108.847%	4.05	81.0%	1.1241	0.482
CUH832_PBMC_CD4	59	0.799	44.882	76.071%	7.672	60.464%	0.6066	0.717
CUH832_PBMC_CD8	54	0.8	42.138	78.033%	7.157	60.06%	0.56496	0.724
CUH832_TILS_CD4	71	0.741	57.025	80.317%	12.52	67.211%	0.54752	0.674
CUH832_TILS_CD8	87	0.843	54.711	62.886%	9.678	54.186%	0.43064	0.772
Cordblood_D1	36	0.814	30.196	83.878%	5.452	58.119%	0.62485	0.768
Cordblood_D2	34	0.704	31.449	92.497%	9.053	71.127%	0.69733	0.67
Cordblood_H1	8	0.535	12.107	151.337%	2.677	84.654%	1.77966	0.478
Cordblood_H2	9	0.531	12.06	134.0%	2.558	85.267%	2.08302	0.445
Cordblood_H3	14	0.713	15.77	112.643%	3.148	70.391%	1.02232	0.666
Cordblood_H4	28	0.835	25.291	90.325%	4.952	55.365%	0.81972	0.811
Cordblood_H5	8	0.684	10.815	135.188%	2.386	75.452%	1.39797	0.664
Cordblood_H6	12	0.652	13.487	112.392%	2.838	75.849%	0.97281	0.587
Cordblood_H7	12	0.583	15.777	131.475%	3.14	83.92%	2.38709	0.508
Cordblood_H8	11	0.49	16.697	151.791%	3.595	87.192%	1.82113	0.411
LEGACY_I1	23	0.725	25.779	112.083%	4.643	69.214%	1.00287	0.671
LEGACY_I2	36	0.784	28.886	80.239%	5.389	63.51%	0.60695	0.718
LEGACY_I3	20	0.654	21.456	107.28%	4.149	75.75%	0.9475	0.565
LEGACY_I4	31	0.76	30.396	98.052%	5.813	65.401%	0.73431	0.712
LEGACY_I5	19	0.581	23.238	122.305%	4.68	81.468%	1.10291	0.488
LEGACY_I6	64	0.781	49.153	76.802%	8.486	63.251%	0.65502	0.686
LEGACY_I7	56	0.767	47.444	84.721%	8.886	64.129%	0.64212	0.699
LEGACY_I8	18	0.649	19.245	106.917%	3.581	76.347%	1.12255	0.547
UDI21_3x	87	0.912	48.364	55.591%	7.906	41.382%	0.33791	0.883
UDI22_3x	121	0.926	58.565	48.401%	9.844	38.002%	0.26344	0.898
UDI23_3x	165	0.959	57.997	35.15%	9.337	28.372%	0.1766	0.942
UDI24_3x	136	0.906	67.971	49.979%	11.855	42.339%	0.24551	0.866
UKCTOCS_UDI1	57	0.846	41.633	73.04%	6.96	55.196%	0.54963	0.795
UKCTOCS_UDI2	51	0.86	37.781	74.08%	7.41	51.013%	0.48154	0.833
UKCTOCS_UDI3	35	0.921	27.139	77.54%	5.678	45.315%	0.55517	0.92
UKCTOCS_UDI4	28	0.886	21.379	76.354%	4.273	47.774%	0.66762	0.871
UKCTOCS_UDI5	32	0.88	22.391	69.972%	4.53	47.75%	0.44531	0.86
UKCTOCS_UDI6	33	0.865	25.332	76.764%	5.492	51.213%	0.69692	0.848
UKCTOCS_UDI7	34	0.867	25.319	74.468%	4.881	49.816%	0.55198	0.843
UKCTOCS_UDI8	22	0.9	19.058	86.627%	4.211	50.331%	0.64135	0.899
