"gene_name","n_syn","n_mis","n_non","n_spl","n_ind","wmis_cv","wnon_cv","wspl_cv","wind_cv","pmis_cv","ptrunc_cv","pallsubs_cv","pind_cv","qmis_cv","qtrunc_cv","qallsubs_cv","qind_cv","pglobal_cv","qglobal_cv"
"TET2",0,3,4,1,5,0.859742122285544,15.5505897196515,15.5505897196515,17.1108961557663,0.788303239210155,6.61312043989115e-05,0.000158675844174838,0.000871619595544686,0.854002202415608,0.00383560985513687,0.00920319896214061,0.0505539365415918,2.32266673094728e-06,0.000134714670394942
"ASXL1",1,0,0,0,2,0,0,0,8.89056420233463,0.0173170132110229,0.490686187361558,0.0464448815002174,0.0357387492467807,0.4478713376239,0.807955903076586,0.803405813647486,0.690949152104427,0.0122848010602017,0.356259230745849
"ROBO2",5,12,0,0,2,1.62644105596169,0,0,9.9414430746918,0.35363263279811,0.217711467860408,0.216566580415334,0.0298626612672661,0.603255667714423,0.807955903076586,0.803405813647486,0.690949152104427,0.0390687074012336,0.603030967991702
"DNMT3A",1,11,0,0,0,5.84214482038305,0,0,0,0.00310584833582173,0.545261125006952,0.00697087522646911,1,0.18013920347766,0.807955903076586,0.202155381567604,1,0.0415883426201173,0.603030967991702
"PPM1D",0,0,0,0,1,0,0,0,11.3112623762376,0.109369719536096,0.624122387462124,0.24617551669141,0.0804653663368362,0.4478713376239,0.807955903076586,0.803405813647486,1,0.0974907924100797,0.997950032833791
"ARID1A",1,1,0,0,1,0.223056683787902,0,0,2.99852362204724,0.0464369824203719,0.358539257610346,0.0903253047511355,0.243531428698874,0.4478713376239,0.807955903076586,0.803405813647486,1,0.10595642462383,0.997950032833791
"DDX41",0,0,1,0,0,0,7.26140908118251,7.26140908118251,0,0.109311208187273,0.134430857447964,0.0905037620429189,1,0.4478713376239,0.807955903076586,0.803405813647486,1,0.307926729133139,0.997950032833791
"RAD21",0,0,1,0,0,0,8.1953045520722,8.1953045520722,0,0.147809679206663,0.117437683795182,0.103009108741319,1,0.4478713376239,0.807955903076586,0.803405813647486,1,0.33714241195325,0.997950032833791
"SMARCA4",1,3,0,0,1,0.834163487627829,0,0,4.15935983009709,0.746050924801096,0.398647973061649,0.664553380413166,0.189748211965456,0.854002202415608,0.807955903076586,0.859140029005612,1,0.387208229512916,0.997950032833791
"TP63",0,4,0,0,0,3.47579816882565,0,0,0,0.0554320464133962,0.608885977560558,0.131347322002981,1,0.4478713376239,0.807955903076586,0.803405813647486,1,0.397970584284392,0.997950032833791
"KIT",1,0,0,0,0,0,0,0,0,0.0554647321918859,0.565497600277048,0.135448092812977,1,0.4478713376239,0.807955903076586,0.803405813647486,1,0.406231421859059,0.997950032833791
"FLT3",1,0,0,0,0,0,0,0,0,0.0651310460192747,0.540848262600832,0.151402660767247,1,0.4478713376239,0.807955903076586,0.803405813647486,1,0.437222475662675,0.997950032833791
"RNF19A",0,0,0,0,0,0,0,0,0,0.0809702729848835,0.610142297137901,0.191543044309093,1,0.4478713376239,0.807955903076586,0.803405813647486,1,0.50809526227523,0.997950032833791
"BRAF",0,0,0,0,0,0,0,0,0,0.0929129896099875,0.54316800842919,0.202618032561472,1,0.4478713376239,0.807955903076586,0.803405813647486,1,0.526084082393135,0.997950032833791
"ROBO1",2,8,0,0,0,2.58935384474862,0,0,0,0.1835540973474,0.390366393794625,0.204849392199957,1,0.4478713376239,0.807955903076586,0.803405813647486,1,0.529634056127492,0.997950032833791
"EZH2",1,0,0,0,0,0,0,0,0,0.0995280661761047,0.563448767042267,0.217963266457102,1,0.4478713376239,0.807955903076586,0.803405813647486,1,0.550014769290567,0.997950032833791
"ATM",0,4,0,1,1,0.774559103078831,1.65429228751991,1.65429228751991,2.24227183513248,0.593594284621737,0.642318443156308,0.778610466948044,0.298807895936021,0.748444967566537,0.807955903076586,0.885213976277836,1,0.571912132411478,0.997950032833791
"BCOR",0,1,0,0,0,0.290042733120701,0,0,0,0.11978868998841,0.492223507899483,0.235540627883341,1,0.4478713376239,0.807955903076586,0.803405813647486,1,0.576102194298772,0.997950032833791
"EP300",1,2,0,0,0,0.456546148620893,0,0,0,0.202371807221154,0.297151067587647,0.257675247067285,1,0.469502592753078,0.807955903076586,0.803405813647486,1,0.607097110718425,0.997950032833791
